label, id, name, ontology
"Chemical", "CHEMBL414804", "Oxaliplatin", "UNKNOWN"
"Chemical", "CHEMBL1235478", "platinum", "UNKNOWN"
"Chemical", "CHEMBL185", "fluorouracil", "UNKNOWN"
"Chemical", "CHEMBL1201138", "calcium folinate", "UNKNOWN"
"Chemical", "CHEMBL1679", "leucovorin", "UNKNOWN"
"Chemical", "CHEMBL1232801", "folinic acid", "UNKNOWN"
"Chemical", "CHEMBL1738", "ICRF-187", "UNKNOWN"
"Chemical", "CHEMBL44657", "etoposide", "UNKNOWN"
"Chemical", "CHEMBL43", "amsacrine", "UNKNOWN"
"Chemical", "CHEMBL408403", "angiotensin II", "UNKNOWN"
"Chemical", "CHEMBL2108110", "thrombin", "UNKNOWN"
"Chemical", "CHEMBL821", "guanidine", "UNKNOWN"
"Chemical", "CHEMBL1434513", "noradrenaline", "UNKNOWN"
"Chemical", "CHEMBL679", "adrenaline", "UNKNOWN"
"Chemical", "CHEMBL452", "clonazepam", "UNKNOWN"
"Chemical", "CHEMBL3", "nicotine", "UNKNOWN"
"Chemical", "CHEMBL267936", "mecamylamine", "UNKNOWN"
"Chemical", "CHEMBL406270", "dithiothreitol", "UNKNOWN"
"Chemical", "CHEMBL55659", "anthraquinones", "UNKNOWN"
"Chemical", "CHEMBL289277", "emodin", "UNKNOWN"
"Chemical", "CHEMBL40275", "aloe-emodin", "UNKNOWN"
"Chemical", "CHEMBL53418", "danthron", "UNKNOWN"
"Chemical", "CHEMBL4297718", "CD40 ligand", "UNKNOWN"
"Chemical", "CHEMBL112", "paracetamol", "UNKNOWN"
"Chemical", "CHEMBL17157", "antihistamine", "UNKNOWN"
"Chemical", "CHEMBL4594214", "ziconotide", "UNKNOWN"
"Chemical", "CHEMBL1230866", "silver", "UNKNOWN"
"Chemical", "CHEMBL2109167", "Histoplasma capsulatum", "UNKNOWN"
"Chemical", "CHEMBL64391", "itraconazole", "UNKNOWN"
"Chemical", "CHEMBL685", "mebendazole", "UNKNOWN"
"Chemical", "CHEMBL1483", "albendazole", "UNKNOWN"
"Chemical", "CHEMBL953", "Entacapone", "UNKNOWN"
"Chemical", "CHEMBL972", "selegiline", "UNKNOWN"
"Chemical", "CHEMBL285802", "zotepine", "UNKNOWN"
"Chemical", "CHEMBL26", "sulpiride", "UNKNOWN"
"Chemical", "CHEMBL477", "adenosine", "UNKNOWN"
"Chemical", "CHEMBL353955", "deoxyuridine", "UNKNOWN"
"Chemical", "CHEMBL4297766", "hydrogen", "UNKNOWN"
"Chemical", "CHEMBL167150", "metrifonate", "UNKNOWN"
"Chemical", "CHEMBL976", "praziquantel", "UNKNOWN"
"Chemical", "CHEMBL5314404", "ajmaline", "UNKNOWN"
"Chemical", "CHEMBL652", "flecainide", "UNKNOWN"
"Chemical", "CHEMBL640", "procainamide", "UNKNOWN"
"Chemical", "CHEMBL1200633", "ivermectin", "UNKNOWN"
"Chemical", "CHEMBL1440", "tetracycline", "UNKNOWN"
"Chemical", "CHEMBL279115", "phorbol myristate acetate", "UNKNOWN"
"Chemical", "CHEMBL993", "thymine", "UNKNOWN"
"Chemical", "CHEMBL4297669", "phosphatidylserine", "UNKNOWN"
"Chemical", "CHEMBL27769", "dihydrotestosterone", "UNKNOWN"
"Chemical", "CHEMBL39", "serotonin", "UNKNOWN"
"Chemical", "CHEMBL4297446", "triptan", "UNKNOWN"
"Chemical", "CHEMBL128", "sumatriptan", "UNKNOWN"
"Chemical", "CHEMBL491", "hydroxyflutamide", "UNKNOWN"
"Chemical", "CHEMBL1201585", "Herceptin", "UNKNOWN"
"Chemical", "CHEMBL2348292", "DITPA", "UNKNOWN"
"Chemical", "CHEMBL1624", "L-thyroxines", "UNKNOWN"
"Chemical", "CHEMBL1201599", "human IgG", "UNKNOWN"
"Chemical", "CHEMBL1222251", "inositol", "UNKNOWN"
"Chemical", "CHEMBL629", "amitriptyline", "UNKNOWN"
"Chemical", "CHEMBL268984", "dynorphin", "UNKNOWN"
"Chemical", "CHEMBL1213327", "coenzyme A", "UNKNOWN"
"Chemical", "CHEMBL1231461", "bromide", "UNKNOWN"
"Chemical", "CHEMBL1128", "Tensilon", "UNKNOWN"
"Chemical", "CHEMBL637", "Venlafaxine", "UNKNOWN"
"Chemical", "CHEMBL310604", "homocysteine", "UNKNOWN"
"Chemical", "CHEMBL1201564", "interferon gamma", "UNKNOWN"
"Chemical", "CHEMBL76", "chloroquine", "UNKNOWN"
"Chemical", "CHEMBL506", "primaquine", "UNKNOWN"
"Chemical", "CHEMBL36", "pyrimethamine", "UNKNOWN"
"Chemical", "CHEMBL416956", "mefloquine", "UNKNOWN"
"Chemical", "CHEMBL1377", "proguanil", "UNKNOWN"
"Chemical", "CHEMBL566534", "artemether", "UNKNOWN"
"Chemical", "CHEMBL475954", "sodium cholate", "UNKNOWN"
"Chemical", "CHEMBL1117", "idarubicin", "UNKNOWN"
"Chemical", "CHEMBL5315087", "protein C", "UNKNOWN"
"Chemical", "CHEMBL1258080", "bile acids", "UNKNOWN"
"Chemical", "CHEMBL4297795", "neutral endopeptidase 24.11", "UNKNOWN"
"Chemical", "CHEMBL428647", "paclitaxel", "UNKNOWN"
"Chemical", "CHEMBL3989576", "fusca", "UNKNOWN"
"Chemical", "CHEMBL1201509", "human chorionic gonadotropin", "UNKNOWN"
"Chemical", "CHEMBL193482", "estriol", "UNKNOWN"
"Chemical", "CHEMBL1201082", "reconcile", "UNKNOWN"
"Chemical", "CHEMBL105", "mitomycin C", "UNKNOWN"
"Chemical", "CHEMBL403664", "bleomycin", "UNKNOWN"
"Chemical", "CHEMBL313493", "methylmethane sulfonate", "UNKNOWN"
"Chemical", "CHEMBL1201774", "tetrahydrobiopterin", "UNKNOWN"
"Chemical", "CHEMBL2108390", "fibrin", "UNKNOWN"
"Chemical", "CHEMBL296419", "astemizole", "UNKNOWN"
"Chemical", "CHEMBL1729", "cisapride", "UNKNOWN"
"Chemical", "CHEMBL692", "glycerol", "UNKNOWN"
"Chemical", "CHEMBL17962", "histidine", "UNKNOWN"
"Chemical", "CHEMBL1153", "digoxigenin", "UNKNOWN"
